,horizontal_difference,trial
1,6.856750488,vp1_77_Session1_d01_fam02_30
2,6.856750488,vp1_77_Session1_d01_fam02_30
0,14.645477294921875,vp1_78_Session1_d01_fam02_31
1,14.645477294921875,vp1_78_Session1_d01_fam02_31
2,14.645477294921875,vp1_78_Session1_d01_fam02_31
0,5.456604004,vp1_79_Session1_d01_fam02_32
1,5.456604004,vp1_79_Session1_d01_fam02_32
2,5.456604004,vp1_79_Session1_d01_fam02_32
0,27.321441650390625,vp1_80_Session1_d01_fam02_33
1,27.321441650390625,vp1_80_Session1_d01_fam02_33
2,27.321441650390625,vp1_80_Session1_d01_fam02_33
0,21.80749512,vp1_81_Session1_d01_fam02_34
1,21.80749512,vp1_81_Session1_d01_fam02_34
2,21.80749512,vp1_81_Session1_d01_fam02_34
0,9.986206055,vp1_83_Session1_d01_fam02_36
1,9.986206055,vp1_83_Session1_d01_fam02_36
2,9.986206055,vp1_83_Session1_d01_fam02_36
0,7.584411621,vp1_84_Session1_d01_fam02_37
1,7.584411621,vp1_84_Session1_d01_fam02_37
2,7.584411621,vp1_84_Session1_d01_fam02_37
0,10.650238037109375,vp1_85_Session1_d01_fam02_38
1,10.650238037109375,vp1_85_Session1_d01_fam02_38
2,10.650238037109375,vp1_85_Session1_d01_fam02_38
0,10.666778564453125,vp1_86_Session1_d01_fam02_39
1,10.666778564453125,vp1_86_Session1_d01_fam02_39
2,10.666778564453125,vp1_86_Session1_d01_fam02_39
0,12.96923828,vp1_87_Session1_d01_fam02_40
1,12.96923828,vp1_87_Session1_d01_fam02_40
2,12.96923828,vp1_87_Session1_d01_fam02_40
0,23.78887939453125,vp1_88_Session1_d01_fam02_41
1,23.78887939453125,vp1_88_Session1_d01_fam02_41
2,23.78887939453125,vp1_88_Session1_d01_fam02_41
0,19.902252197265625,vp1_90_Session1_d01_fam02_43
1,19.902252197265625,vp1_90_Session1_d01_fam02_43
2,19.902252197265625,vp1_90_Session1_d01_fam02_43
0,7.499603271484375,vp1_91_Session1_d01_fam02_44
1,7.499603271484375,vp1_91_Session1_d01_fam02_44
2,7.499603271484375,vp1_91_Session1_d01_fam02_44
0,14.70056152,vp1_92_Session1_d01_fam02_45
1,14.70056152,vp1_92_Session1_d01_fam02_45
2,14.70056152,vp1_92_Session1_d01_fam02_45
0,29.175201416015625,vp1_93_Session1_d01_fam02_46
1,29.175201416015625,vp1_93_Session1_d01_fam02_46
2,29.175201416015625,vp1_93_Session1_d01_fam02_46
0,21.677032470703125,vp1_95_Session1_d01_fam02_48
1,21.677032470703125,vp1_95_Session1_d01_fam02_48
2,21.677032470703125,vp1_95_Session1_d01_fam02_48
0,45.449371337890625,vp1_97_Session1_d01_b01_2
1,45.449371337890625,vp1_97_Session1_d01_b01_2
2,45.449371337890625,vp1_97_Session1_d01_b01_2
3,-12.47399902,vp1_97_Session1_d01_b01_2
4,-12.47399902,vp1_97_Session1_d01_b01_2
5,-12.47399902,vp1_97_Session1_d01_b01_2
6,23.73339844,vp1_97_Session1_d01_b01_2
7,23.73339844,vp1_97_Session1_d01_b01_2
8,23.73339844,vp1_97_Session1_d01_b01_2
0,5.181793212890625,vp1_98_Session1_d01_b01_3
1,5.181793212890625,vp1_98_Session1_d01_b01_3
2,5.181793212890625,vp1_98_Session1_d01_b01_3
0,18.853607177734375,vp1_99_Session1_d01_b01_4
1,18.853607177734375,vp1_99_Session1_d01_b01_4
2,18.853607177734375,vp1_99_Session1_d01_b01_4
0,-5.828155518,vp1_100_Session1_d01_b01_5
1,-5.828155518,vp1_100_Session1_d01_b01_5
2,-5.828155518,vp1_100_Session1_d01_b01_5
0,6.599243164,vp1_102_Session1_d01_b01_7
1,6.599243164,vp1_102_Session1_d01_b01_7
2,6.599243164,vp1_102_Session1_d01_b01_7
0,19.295318603515625,vp1_103_Session1_d01_b01_8
1,19.295318603515625,vp1_103_Session1_d01_b01_8
2,19.295318603515625,vp1_103_Session1_d01_b01_8
0,5.654541016,vp1_104_Session1_d01_b01_9
1,5.654541016,vp1_104_Session1_d01_b01_9
2,5.654541016,vp1_104_Session1_d01_b01_9
0,5.263214111328125,vp1_105_Session1_d01_b01_10
1,5.263214111328125,vp1_105_Session1_d01_b01_10
2,5.263214111328125,vp1_105_Session1_d01_b01_10
0,-6.149688721,vp1_106_Session1_d01_b01_11
1,-6.149688721,vp1_106_Session1_d01_b01_11
2,-6.149688721,vp1_106_Session1_d01_b01_11
0,6.974060059,vp1_107_Session1_d01_b01_12
